product_id;sku;titulo;categorias;categoria_proveedor;nivel;motivo;campos_cambiados;tipo_semantico_antes;rol_antes;aplicacion_antes;plataforma_antes;subtipo_antes;etiquetas_antes;tipo_semantico_despues;rol_despues;aplicacion_despues;plataforma_despues;subtipo_despues;etiquetas_despues
139748;4260627426270;Ducha solar 35L negra con termómetro;Agua, riego y piscinas;Jardín y ocio > Piscinas y más > Duchas de jardín y más;AFINAR;"El título indica explícitamente que es una ducha solar; existe un TIPO más específico.";tipo_semantico;Ducha exterior;equipamiento;Piscinas y spa;;;Piscinas y spa;Ducha solar de exterior;equipamiento;Piscinas y spa;;;Piscinas y spa
139749;4260627426287;Ducha solar con termómetro;Agua, riego y piscinas;Jardín y ocio > Piscinas y más;AFINAR;"El título indica explícitamente que es una ducha solar; existe un TIPO más específico.";tipo_semantico;Ducha exterior;equipamiento;Piscinas y spa;;;Piscinas y spa;Ducha solar de exterior;equipamiento;Piscinas y spa;;;Piscinas y spa
139751;4260551583810;Calentador solar 6x4m rectangular;Agua, riego y piscinas;Jardín y ocio > Piscinas y más > Accesorios para piscinas;CORREGIR;"El producto es de piscina/spa; la aplicación actual de vegetación/riego no describe su uso.";aplicacion, etiquetas;Calentador solar para piscina;equipamiento;Corte y mantenimiento de vegetación | Riego y gestión del agua;;;Corte y mantenimiento de vegetación, Riego y gestión del agua;Calentador solar para piscina;equipamiento;Piscinas y spa;;;Piscinas y spa
139756;4260627426362;Piscine Spa Santorini alrededor con LED 2400W;Agua, riego y piscinas;Jardín y ocio > Piscinas y más > Piscinas del spa;CORREGIR;"El producto es de piscina/spa; la aplicación actual de vegetación/riego no describe su uso. Es un spa completo, no un accesorio o concepto genérico.";tipo_semantico, aplicacion, etiquetas;Spa/jacuzzi;equipamiento;Corte y mantenimiento de vegetación | Riego y gestión del agua;;;Corte y mantenimiento de vegetación, Riego y gestión del agua;Spa/piscina de hidromasaje;equipamiento;Piscinas y spa;;;Piscinas y spa
139758;4260627427079;Funda térmica para jacuzzi de Ø140 cm, color gris;Agua, riego y piscinas;Jardín y ocio > Piscinas y más > Accesorios para piscinas;CORREGIR;"El producto es de piscina/spa; la aplicación actual de vegetación/riego no describe su uso. Es específicamente una funda térmica para jacuzzi; existe un TIPO más preciso.";tipo_semantico, aplicacion, etiquetas;Accesorio para spa/jacuzzi;accesorio;Corte y mantenimiento de vegetación | Riego y gestión del agua;;;Corte y mantenimiento de vegetación, Riego y gestión del agua;Cubierta/funda térmica para spa/jacuzzi;accesorio;Piscinas y spa;;;Piscinas y spa
139759;4260627427086;Thermoabdeckung für Whirlpool Ø171 cm grau;Agua, riego y piscinas;Jardín y ocio > Piscinas y más > Accesorios para piscinas;CORREGIR;"El producto es de piscina/spa; la aplicación actual de vegetación/riego no describe su uso.";aplicacion, etiquetas;Cubierta/funda térmica para spa/jacuzzi;accesorio;Corte y mantenimiento de vegetación | Riego y gestión del agua;;;Corte y mantenimiento de vegetación, Riego y gestión del agua;Cubierta/funda térmica para spa/jacuzzi;accesorio;Piscinas y spa;;;Piscinas y spa
139760;4260627428649;Calentador solar 66cmx300cm 2 piezas;Agua, riego y piscinas;Jardín y ocio > Piscinas y más > Accesorios para piscinas;CORREGIR;"El producto es de piscina/spa; la aplicación actual de vegetación/riego no describe su uso.";aplicacion, etiquetas;Calentador solar para piscina;equipamiento;Corte y mantenimiento de vegetación | Riego y gestión del agua;;;Corte y mantenimiento de vegetación, Riego y gestión del agua;Calentador solar para piscina;equipamiento;Piscinas y spa;;;Piscinas y spa
139763;4260627428656;Calefacción solar - 66 x 300 cm - incluidos los accesorios;Agua, riego y piscinas;Jardín y ocio;CORREGIR;"El producto es de piscina/spa; la aplicación actual de vegetación/riego no describe su uso.";aplicacion, etiquetas;Calentador solar para piscina;equipamiento;Corte y mantenimiento de vegetación | Riego y gestión del agua;;;Corte y mantenimiento de vegetación, Riego y gestión del agua;Calentador solar para piscina;equipamiento;Piscinas y spa;;;Piscinas y spa
139773;4252023108249;Ducha solar 60L con termómetro y teleducha negro;Agua, riego y piscinas;Jardín y ocio;AFINAR;"El título indica explícitamente que es una ducha solar; existe un TIPO más específico.";tipo_semantico;Ducha exterior;equipamiento;Piscinas y spa;;;Piscinas y spa;Ducha solar de exterior;equipamiento;Piscinas y spa;;;Piscinas y spa
139775;4252023127936;Poolabdeckung rund 460 cm (Für Ø 366 - 400cm Pools);Agua, riego y piscinas;Jardín y ocio;CORREGIR;"El producto es de piscina/spa; la aplicación actual de vegetación/riego no describe su uso.";aplicacion, etiquetas;Cubierta para piscina;accesorio;Corte y mantenimiento de vegetación | Riego y gestión del agua;;;Corte y mantenimiento de vegetación, Riego y gestión del agua;Cubierta para piscina;accesorio;Piscinas y spa;;;Piscinas y spa
139776;4252023127943;Poolabdeckung rund 520 cm (Für Ø 420-460 cm Pools);Agua, riego y piscinas;Jardín y ocio;CORREGIR;"El producto es de piscina/spa; la aplicación actual de vegetación/riego no describe su uso.";aplicacion, etiquetas;Cubierta para piscina;accesorio;Corte y mantenimiento de vegetación | Riego y gestión del agua;;;Corte y mantenimiento de vegetación, Riego y gestión del agua;Cubierta para piscina;accesorio;Piscinas y spa;;;Piscinas y spa
139777;4252023127967;Poolabdeckung rund 610 cm (Für Ø 500 - 550 cm Pools);Agua, riego y piscinas;Jardín y ocio;CORREGIR;"El producto es de piscina/spa; la aplicación actual de vegetación/riego no describe su uso.";aplicacion, etiquetas;Cubierta para piscina;accesorio;Corte y mantenimiento de vegetación | Riego y gestión del agua;;;Corte y mantenimiento de vegetación, Riego y gestión del agua;Cubierta para piscina;accesorio;Piscinas y spa;;;Piscinas y spa
139778;4252023129138;Alfombra protectora para spa 200 cm negra redonda;Agua, riego y piscinas;Jardín y ocio;CORREGIR;"El producto es de piscina/spa; la aplicación actual de vegetación/riego no describe su uso. Es una alfombra/base protectora para spa: debe ser accesorio, no el spa como equipamiento.";tipo_semantico, rol, aplicacion, etiquetas;Spa/jacuzzi;equipamiento;Corte y mantenimiento de vegetación | Riego y gestión del agua;;;Corte y mantenimiento de vegetación, Riego y gestión del agua;Accesorio para spa/jacuzzi;accesorio;Piscinas y spa;;;Piscinas y spa
139779;4252023129145;Alfombra protectora para spa 240 cm negra redonda;Agua, riego y piscinas;Jardín y ocio;CORREGIR;"El producto es de piscina/spa; la aplicación actual de vegetación/riego no describe su uso. Es una alfombra/base protectora para spa: debe ser accesorio, no el spa como equipamiento.";tipo_semantico, rol, aplicacion, etiquetas;Spa/jacuzzi;equipamiento;Corte y mantenimiento de vegetación | Riego y gestión del agua;;;Corte y mantenimiento de vegetación, Riego y gestión del agua;Accesorio para spa/jacuzzi;accesorio;Piscinas y spa;;;Piscinas y spa
139781;4260627426324;Piscine Spa Bergen oval 2400W;Agua, riego y piscinas;Jardín y ocio > Piscinas y más > Piscinas del spa;CORREGIR;"El producto es de piscina/spa; la aplicación actual de vegetación/riego no describe su uso. Es un spa completo, no un accesorio o concepto genérico.";tipo_semantico, aplicacion, etiquetas;Spa/jacuzzi;equipamiento;Corte y mantenimiento de vegetación | Riego y gestión del agua;;;Corte y mantenimiento de vegetación, Riego y gestión del agua;Spa/piscina de hidromasaje;equipamiento;Piscinas y spa;;;Piscinas y spa
139782;4260627427062;6 cartuchos de filtro para bañeras de hidromasaje;Agua, riego y piscinas;Jardín y ocio > Piscinas y más > Accesorios para piscinas;CORREGIR;"Es un pack de cartuchos filtrantes de reposición para spa; el TIPO consumible es más correcto.";tipo_semantico, rol;Accesorio para spa/jacuzzi;accesorio;Piscinas y spa;;;Piscinas y spa;Cartucho de filtro de agua;consumible;Piscinas y spa;;;Piscinas y spa
139783;4260627428762;Piscine Spa Tenerife cuadrado con LED 2400W;Agua, riego y piscinas;Jardín y ocio > Piscinas y más > Piscinas del spa;CORREGIR;"El producto es de piscina/spa; la aplicación actual de vegetación/riego no describe su uso. Es un spa completo, no un accesorio o concepto genérico.";tipo_semantico, aplicacion, etiquetas;Spa/jacuzzi;equipamiento;Corte y mantenimiento de vegetación | Riego y gestión del agua;;;Corte y mantenimiento de vegetación, Riego y gestión del agua;Spa/piscina de hidromasaje;equipamiento;Piscinas y spa;;;Piscinas y spa
139785;4260627428069;Ducha Solar 35L Negra y placa Antracita;Agua, riego y piscinas;Jardín y ocio;AFINAR;"El título indica explícitamente que es una ducha solar; existe un TIPO más específico.";tipo_semantico;Ducha exterior;equipamiento;Piscinas y spa;;;Piscinas y spa;Ducha solar de exterior;equipamiento;Piscinas y spa;;;Piscinas y spa
139787;4252023112543;Ducha solar 60L negro + base antracita;Agua, riego y piscinas;Jardín y ocio;AFINAR;"El título indica explícitamente que es una ducha solar; existe un TIPO más específico.";tipo_semantico;Ducha exterior;equipamiento;Piscinas y spa;;;Piscinas y spa;Ducha solar de exterior;equipamiento;Piscinas y spa;;;Piscinas y spa
139799;4260627429080;Ducha solar 40L con termómetro y teleducha;Agua, riego y piscinas;Jardín y ocio > Piscinas y más;AFINAR;"El título indica explícitamente que es una ducha solar; existe un TIPO más específico.";tipo_semantico;Ducha exterior;equipamiento;Piscinas y spa;;;Piscinas y spa;Ducha solar de exterior;equipamiento;Piscinas y spa;;;Piscinas y spa
139800;4252023109512;Ducha solar 60L con teleducha y temómetro negro/plata;Agua, riego y piscinas;Jardín y ocio > Piscinas y más;AFINAR;"El título indica explícitamente que es una ducha solar; existe un TIPO más específico.";tipo_semantico;Ducha exterior;equipamiento;Piscinas y spa;;;Piscinas y spa;Ducha solar de exterior;equipamiento;Piscinas y spa;;;Piscinas y spa
139801;4252023109765;Ducha solar 40L con termómetro y ducha de mano plateada;Agua, riego y piscinas;Jardín y ocio > Piscinas y más;AFINAR;"El título indica explícitamente que es una ducha solar; existe un TIPO más específico.";tipo_semantico;Ducha exterior;equipamiento;Piscinas y spa;;;Piscinas y spa;Ducha solar de exterior;equipamiento;Piscinas y spa;;;Piscinas y spa
139803;4260627428007;Ducha solar 35L plata - elemento de suelo antracita;Agua, riego y piscinas;Jardín y ocio > Piscinas y más;AFINAR;"El título indica explícitamente que es una ducha solar; existe un TIPO más específico.";tipo_semantico;Ducha exterior;equipamiento;Piscinas y spa;;;Piscinas y spa;Ducha solar de exterior;equipamiento;Piscinas y spa;;;Piscinas y spa
139804;4260627428106;Ducha solar 20L nero - placa base antracita;Agua, riego y piscinas;Jardín y ocio > Piscinas y más;AFINAR;"El título indica explícitamente que es una ducha solar; existe un TIPO más específico.";tipo_semantico;Ducha exterior;equipamiento;Piscinas y spa;;;Piscinas y spa;Ducha solar de exterior;equipamiento;Piscinas y spa;;;Piscinas y spa
139805;4252023105477;Ducha solar 40L Premium Negro - Elemento de suelo Antracita;Agua, riego y piscinas;Jardín y ocio > Piscinas y más;AFINAR;"El título indica explícitamente que es una ducha solar; existe un TIPO más específico.";tipo_semantico;Ducha exterior;equipamiento;Piscinas y spa;;;Piscinas y spa;Ducha solar de exterior;equipamiento;Piscinas y spa;;;Piscinas y spa
139806;4252023112567;Ducha solar 60L con termómetro y teleducha negro-plata con placa base antracita;Agua, riego y piscinas;Jardín y ocio > Piscinas y más;AFINAR;"El título indica explícitamente que es una ducha solar; existe un TIPO más específico.";tipo_semantico;Ducha exterior;equipamiento;Piscinas y spa;;;Piscinas y spa;Ducha solar de exterior;equipamiento;Piscinas y spa;;;Piscinas y spa
139807;4252023112666;Ducha solar 40 Lcon termómetro, teleducha y elemento de suelo;Agua, riego y piscinas;Jardín y ocio > Piscinas y más;AFINAR;"El título indica explícitamente que es una ducha solar; existe un TIPO más específico.";tipo_semantico;Ducha exterior;equipamiento;Piscinas y spa;;;Piscinas y spa;Ducha solar de exterior;equipamiento;Piscinas y spa;;;Piscinas y spa
139833;4252023124553;Carretilla manual de escalera 150 kg negra;Carretillas;BRICOLAJE > Garaje Equipamiento > Transporte;AFINAR;"Es una carretilla diseñada para escaleras; existe un TIPO más específico.";tipo_semantico;Carretillas;equipamiento;Logística, embalaje y preparación de pedidos;;;Logística, embalaje y preparación de pedidos;Carretilla para subir escaleras;equipamiento;Logística, embalaje y preparación de pedidos;;;Logística, embalaje y preparación de pedidos
139834;4252023124560;Carretilla manual de escalera 150 kg antracita;Carretillas;BRICOLAJE > Garaje Equipamiento > Transporte;AFINAR;"Es una carretilla diseñada para escaleras; existe un TIPO más específico.";tipo_semantico;Carretillas;equipamiento;Logística, embalaje y preparación de pedidos;;;Logística, embalaje y preparación de pedidos;Carretilla para subir escaleras;equipamiento;Logística, embalaje y preparación de pedidos;;;Logística, embalaje y preparación de pedidos
139851;4260627429042;Caja de herramientas incl. 172 piezas antracita;Juegos de herramientas;BRICOLAJE;CORREGIR;"El producto incluye 172 herramientas; no es solo una caja vacía. Debe clasificarse como juego de herramientas.";tipo_semantico, rol, aplicacion, etiquetas;Caja de herramientas;accesorio;Organización y almacenaje de taller;;;Organización y almacenaje de taller;Juegos de herramientas;herramienta;;;;
139852;4260627429035;Caja de herramientas incl. 172 piezas azul;Juegos de herramientas;BRICOLAJE;CORREGIR;"El producto incluye 172 herramientas; no es solo una caja vacía. Debe clasificarse como juego de herramientas.";tipo_semantico, rol, aplicacion, etiquetas;Caja de herramientas;accesorio;Organización y almacenaje de taller;;;Organización y almacenaje de taller;Juegos de herramientas;herramienta;;;;
139853;4260627429028;Caja de herramientas incl. 172 piezas rojo;Juegos de herramientas;BRICOLAJE;CORREGIR;"El producto incluye 172 herramientas; no es solo una caja vacía. Debe clasificarse como juego de herramientas.";tipo_semantico, rol, aplicacion, etiquetas;Caja de herramientas;accesorio;Organización y almacenaje de taller;;;Organización y almacenaje de taller;Juegos de herramientas;herramienta;;;;
